08:22:26:230 [ALWAYS]	GUDE Logging Started
08:22:26:231 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
08:22:26:231 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
08:22:26:231 [ERROR]	Initialize resume cache pointer failure
08:22:26:232 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
08:22:26:232 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
08:22:28:766 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
08:22:28:767 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
08:22:28:767 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
08:22:28:767 [ERROR]	Initialize resume cache pointer failure
08:22:28:767 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
08:22:28:767 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
